COMMAND                   AVG_CPU%
isuride                      102.0
pidstat                        0.5
landscape-sysin                0.5
rcu_sched                      0.2
sh                             0.1
mysql                          0.1
kworker/1:2-events             0.1
kworker/0:2-events             0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
systemd-logind                 0.0
systemd-journal                0.0
sshd                           0.0
snapd                          0.0
polkitd                        0.0
