COMMAND                   AVG_CPU%
nginx                        116.2
pidstat                        0.5
rcu_sched                      0.2
kworker/1:2-events             0.1
kworker/0:0-events             0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
systemd-logind                 0.0
systemd                        0.0
sshd                           0.0
snapd                          0.0
kworker/u8:4-events_power_efficient       0.0
kworker/u8:2-kvfree_rcu_reclaim       0.0
kworker/u8:0-kvfree_rcu_reclaim       0.0
dbus-daemon                    0.0
