COMMAND                   AVG_CPU%
nginx                        101.6
pidstat                        0.8
landscape-sysin                0.5
rcu_sched                      0.2
kworker/1:1-events             0.1
kworker/0:3-events             0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
vmstat                         0.0
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
ModemManager                   0.0
kworker/u8:4-events_power_efficient       0.0
kworker/u8:3-kvfree_rcu_reclaim       0.0
