COMMAND                   AVG_CPU%
nginx                        117.8
pidstat                        0.5
rcu_sched                      0.2
kworker/1:3-events             0.1
kworker/0:3-events             0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
vmstat                         0.0
systemd-logind                 0.0
sshd                           0.0
kworker/u8:1-events_power_efficient       0.0
irqbalance                     0.0
dbus-daemon                    0.0
