COMMAND                   AVG_CPU%
nginx                        102.3
landscape-sysin                0.8
pidstat                        0.5
rcu_sched                      0.1
kworker/1:1-events             0.1
kworker/0:0-events             0.1
systemd-logind                 0.0
systemd                        0.0
sshd                           0.0
multipathd                     0.0
kworker/u8:4-events_power_efficient       0.0
kworker/u8:3-ext4-rsv-conversion       0.0
kworker/u8:3-events_power_efficient       0.0
kworker/u8:1+flush-259:0       0.0
kworker/u8:1-events_unbound       0.0
